Ranking,University Name,Country,Source,No. of Students,Public/Private University,Focus
551-600,Vilnius Gediminas Technical University,Lithuania,,"12,000",Public,Specialist
551-600,Western Sydney University,Australia,,,,
601-650,American University in Dubai,United Arab Emirates,,,,
601-650,Brno University of Technology,Czech Republic,,,,
601-650,Central Queensland University,Australia,,,,
601-650,Chonnam National University,South Korea,,"> 12,000 students",Private,Comprehensive
601-650,Far Eastern Federal University,Russia,,,,
601-650,Indiana University-Purdue University Indianapolis,United States,,"30,000",,
601-650,Inha University,South Korea,,,,
601-650,Istanbul Technical University,Turkey,,,,
601-650,ITMO University,Russia,,,,
601-650,Jadavpur University,India,,,,
601-650,Jordan University of Science & Technology,Jordan,,,,
601-650,Keele University,United Kingdom,,,,
601-650,Lanzhou University,China,,,,
601-650,Lebanese American University,Lebanon,,,,
601-650,National Chengchi University,Taiwan,,,,
601-650,National Chung Hsing University,Taiwan,,,,
601-650,National Taipei University of Technology,Taiwan,,,,
601-650,The New School,United States,,,,
601-650,Tallinn University of Technology,Estonia,,,,
601-650,TU Dortmund University,Germany,,,,
601-650,Thammasat University,Thailand,,,,
601-650,Universidad Anahuac,Mexico,,,,
601-650,Universidad de Antioquia,Colombia,,,,
601-650,Universidad de la Habana,Cuba,,,,
601-650,University of Salamanca,Spain,,,,
601-650,Universidad de San Andrés - UdeSA,Argentina,,"> 12,000 students",,
601-650,Universidad de Sevilla,Spain,,,,
601-650,Universidad Iberoamericana IBERO,Mexico,,,,
601-650,Universidade de Santiago de Compostela,Spain,,,,
601-650,Universität Duisburg-Essen,Germany,,,,
601-650,Université de Sherbrooke,Canada,,,,
601-650,Université Nice Sophia Antipolis,France,,,,
601-650,Universiti Teknologi Petronas (Petronas),Malaysia,,,,
601-650,University of Bradford,United Kingdom,,,,
601-650,University of Haifa,Israel,,,,
601-650,University of Houston,United States,,,,
601-650,University of Hull,United Kingdom,,,,
601-650,University of Hyderabad,India,,,,
601-650,University of Johannesburg,South Africa,,,,
601-650,University of Kufa,Iraq,,,,
601-650,University of Massachusetts - Boston,United States,,,,
601-650,"University of Missouri, Columbia",United States,,,,
601-650,University of Portsmouth,United Kingdom,,,,
601-650,University of South Carolina,United States,,,,
601-650,University of Tehran,"Iran, Islamic Republic of",,,,
601-650,Ulster University,United Kingdom,,,,
601-650,University of Zagreb,Croatia,,,,
601-650,Warsaw University of Technology,Poland,,,,
651-700,Ajou University,South Korea,,,,
651-700,Anna University,India,,,,
651-700,Beijing Foreign Studies University,China,,,,
651-700,Carleton University,Canada,,,,
651-700,Charles Darwin University,Australia,,"<12,000",Public,Comprehensive
651-700,Clarkson University,United States,,,,
651-700,Dublin Institute of Technology,Ireland,,"<30,000",Public,Comprehensive
651-700,Karaganda State University named after academician E.A.Buketov,Kazakhstan,,,,
651-700,Eötvös Lorànd University,Hungary,,"<30,000",Public,Focused
651-700,Gifu University,Japan,,"<12,000",Public,Comprehensive+
651-700,Hallym University,South Korea,,"<12,000",Private,Comprehensive+
651-700,Instituto Politécnico Nacional (IPN),Mexico,,">30,000",Public,Comprehensive
651-700,Instituto Tecnológico Autónomo de México (ITAM),Mexico,,,,
651-700,Kagoshima University,Japan,,"<12,000",Public,Comprehensive+
651-700,Kazakh-British Technical University,Kazakhstan,,,,
651-700,Konkuk University,South Korea,,"<30,000",Private,Comprehensive+
651-700,Kuwait University,Kuwait,,">30,000",Public,Comprehensive+
651-700,Louisiana State University,United States,,"<30,000",Public,Comprehensive
651-700,Missouri University of Science and Technology,United States,,"<12,000",Public,Comprehensive
651-700,National and Kapodistrian University of Athens,Greece,,">30,000",Public,Comprehensive+
651-700,Quaid-i-Azam University,Pakistan,,,,
651-700,Riga Technical University,Latvia,,"<12,000",Public,Comprehensive
651-700,"Rutgers - The State University of New Jersey, Newark",United States,,,,
651-700,Shanghai International Studies University,China,,"<12,000",Public,Specialist
651-700,Stevens Institute of Technology,United States,,"<12,000",Private,Comprehensive
651-700,Temple University,United States,,">30,000",Public,Comprehensive+
651-700,Tokyo Metropolitan University,Japan,,"<12,000",Public,Comprehensive
651-700,Universidad Adolfo Ibàñez,Chile,,"<12,000",Private,Focused
651-700,Universidad Católica Andres Bello,Venezuela,,,,
651-700,Universidad Central de Venezuela,Venezuela,,">30,000",Public,Comprehensive+
651-700,Universidad de Concepción,Chile,,"<30,000",Private,Comprehensive+
651-700,Universidad del Pais Vasco,Spain,,,,
651-700,Universidad Torcuato Di Tella,Argentina,,"<5,000",Private,Specialist
651-700,Universidade Católica Portuguesa - UCP,Portugal,,,,
651-700,Universidade de Brasília,Brazil,,">30,000",Public,
651-700,Universidade Federal de São Carlos (UFSCAR),Brazil,,"<30,000",Public,Comprehensive+
651-700,Universität Bielefeld,Germany,,"<30,000",,
651-700,University Duesseldorf,Germany,,"<30,000",Public,Comprehensive+
651-700,Université de Rennes 1,France,,,,
651-700,University at Albany SUNY,United States,,"<30,000",Public,Comprehensive
651-700,University of Alabama,United States,,">30,000",Public,Comprehensive
651-700,University of Crete,Greece,,,,
651-700,University of Debrecen,Hungary,,"<30,000",Public,Comprehensive+
651-700,University of Ljubljana,Slovenia,,">30,000",Public,Comprehensive+
651-700,University of Milano-Bicocca,Italy,,">30,000",Public,Comprehensive
651-700,University of Minho,Portugal,,"<30,000",,
651-700,University of Seoul,South Korea,,"<12,000",Public,Comprehensive
651-700,University of Windsor,Canada,,"<30,000",Public,Comprehensive
651-700,Virginia Commonwealth University,United States,,,,
651-700,Worcester Polytechnic Institute,United States,,"<12,000",Private,Comprehensive
701-750,Ain Shams University,Egypt,,">30,000",Public,Comprehensive+
701-750,Airlangga University,Indonesia,,">30,000",Public,Comprehensive+
701-750,Beijing Jiaotong University,China,,"<30,000",Public,Comprehensive
701-750,Beijing University of Technology,China,,"<30,000",Public,Comprehensive
701-750,Bournemouth University,United Kingdom,,,,
701-750,China Agricultural University,China,,"<30,000",Public,Comprehensive+
701-750,Clemson University,United States,,"<30,000",Public,Comprehensive
701-750,Comenius University in Bratislava,Slovakia,,"<30,000",Public,Comprehensive
701-750,Dankook University,South Korea,,,,
701-750,De La Salle University,Philippines,,"<30,000",Private,Comprehensive
701-750,Hunan University,China,,">30,000",Public,
701-750,International Islamic University Malaysia (IIUM),Malaysia,,"<30,000",Public,Comprehensive+
701-750,Kaunas University of Technology,Lithuania,,,,
701-750,Khazar University,Azerbaijan,,"<5,000",Private,Focused
701-750,Kyungpook National University,South Korea,,,,
701-750,Lahore University of Management Sciences (LUMS),Pakistan,,"<5,000",Private,Comprehensive
701-750,Lobachevsky University,Russia,,"<5,000",,
701-750,London Metropolitan University,United Kingdom,,"<12,000",Public,Comprehensive
701-750,Manipal Academy of Higher Education,India,,,,
701-750,Maynooth University,Ireland,,"<12,000",Public,Focused
701-750,Memorial University of Newfoundland,Canada,,"<30,000",Public,Comprehensive+
701-750,Middlesex University,United Kingdom,,"<30,000",Public,Comprehensive
701-750,"National Technical University ""Kharkiv Polytechnic Institute""",Ukraine,,,,
701-750,Niigata University,Japan,,"<30,000",Public,Comprehensive+
701-750,Osaka Prefecture University,Japan,,,,
701-750,Palacký University in Olomouc,Czech Republic,,"<30,000",Public,Comprehensive
701-750,Pontificia Universidad Católica de Valparaíso,Chile,,,,
701-750,Rhodes University,South Africa,,"<12,000",Public,
701-750,Smith College,United States,,"<5,000",Private,
701-750,Sofia University St. Kliment Ohridski,Bulgaria,,"<30,000",Public,Comprehensive
701-750,Sophia University,Japan,,"<30,000",Private,Comprehensive
701-750,Southern Methodist University,United States,,,,
701-750,Texas Tech University,United States,,">30,000",,
701-750,Tokyo University of Science,Japan,,"<30,000",Private,Focused
701-750,Universidad de la República (UdelaR),Uruguay,,">30,000",Public,Comprehensive+
701-750,Universidad San Francisco de Quito (USFQ),Ecuador,,"<12,000",Private,Comprehensive+
701-750,Universidad Nacional de Córdoba - UNC,Argentina,,"<12,000",Private,Comprehensive+
701-750,Ca' Foscari University of Venice,Italy,,"<30,000",Public,Focused
701-750,University of Genoa,Italy,,,,
701-750,University of Modena and Reggio Emilia,Italy,,"<30,000",Public,Comprehensive+
701-750,University of Trieste,Italy,,,,
701-750,Universiti Utara Malaysia (UUM),Malaysia,,"<30,000",Public,Specialist
701-750,University of Brighton,United Kingdom,,,,
701-750,University of Bucharest,Romania,,"<30,000",Public,Focused
701-750,University of Central Florida,United States,,">30,000",Public,Comprehensive+
701-750,University of Denver,United States,,"<12,000",Private,Comprehensive
701-750,University of Dhaka,Bangladesh,,,,
701-750,University of Kwazulu-Natal,South Africa,,"<30,000",Public,Comprehensive+
701-750,University of Latvia,Latvia,,,,
701-750,University of Patras,Greece,,"<30,000",Public,Comprehensive+
